path	label	pcaFeaturesString
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_156_100.jpg	Apple Pink Lady	0.3259358932374738,-2.7981074921179783,-0.9510774409265943,-36.54585365951164,17.995697766651407,-622.3728007676328,-245.44344459262112,-44.42231256517666,155.85900692462008,-37.09584766936185,-217.49634135627556,-21.93648881550225,39.924138690923414,-8.99207760223137,-214.94222047511343,-242.5257980009675,152.9497234752616,36.4272189609522,24.70095527359047,123.26990617366741,38.27539356270984,-83.61337327449792,55.424853161378586,7.908537423241846,-65.59579837962382,123.77712933438535,112.47304248758269,-32.05651989313513,-29.370902223461915,7.170418427177235,-32.50871226972757,16.132579534173953,0.9643043303725165,-6.751768695508611,-14.234312122655318,6.562035271847229,-30.951823234371634,7.271416574154888,10.451905333074784,2.855058379142338,-4.265445940134852,-7.358807668144901,-2.5695558222842907,-20.47058351446748,-10.076330855747878,-22.755172997549014,18.95544270728018,-10.292142989474009,4.589953698894177,5.071926331805404
s3://p8neurybucket/Training-fruit/Apple Braeburn/176_100.jpg	Apple Braeburn	-136704.8499778704,3142.6002516218,8.296579896355153,65.35155786549015,-67.3849099164729,-60.37598625770055,-108.76257624188729,1042.0271519861637,335.62879814842097,-63.84684783030337,9.573511669129747,-25.753628199136493,-19.447678572407327,-17.802906376251105,-7.814971048007883,19.30791702229356,17.659735377588998,30.550453332872905,9.673555409822734,3.9349422347227345,-1.9108012295660985,3.550498222297636,1.0553921882336315,-11.069030840325441,-3.3739836214731707,-0.9504079793490064,-0.636891169097414,13.981271160644154,-3.7270494037792945,3.2504837833610196,-8.317623982267126,-3.4781829083502833,2.2346093980724655,3.009267631105575,-9.06820448046579,1.748977793971819,6.865758075840174,-2.1620675375675913,17.993664418087107,3.752673497932427,-10.165682660576467,5.553105623569472,2.746866184502593,-20.060283647975314,-3.930212893318888,-5.943614054102428,5.404851384164254,5.673854559309925,4.8141699639663615,2.8227544862017617
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_164_100.jpg	Apple Pink Lady	0.07401082988254386,-0.8112169263125985,-4.910779884738855,-7.085008250554345,-10.09945131480355,-54.20262654263728,-16.581105850409962,-62.09296574924887,215.7626718257234,-33.37932099901277,-58.79095231580541,1.079079565169974,6.084904930039156,156.5692398279686,-15.478657526255292,29.902209166844656,14.203254895325168,33.86426923965742,0.4441620812566306,32.086802121771015,15.097857673509608,-0.5478971433874187,-15.51832600268111,7.3583145071353835,68.33719166365069,25.63421064557476,54.98594283293003,-0.499491493286155,33.90937466589501,-16.07936684333806,-6.910827800653601,10.805927098677332,6.153786796403054,-1.697787697993385,-17.201191812715795,15.489298153014323,-33.9488030197489,19.148913259384795,-22.193512623834888,26.12556133002085,18.101788803292436,-60.97272320254423,-86.67403359349575,-20.167067792651423,-41.568845150178525,-39.16550836609317,-8.126371413702516,-19.40110599909018,5.337067916811959,-0.6460133660581456
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_182_100.jpg	Apple Braeburn	0.0892442791470537,-0.3729065425543919,2.7483169391211724,0.6875059468878669,6.947761725949428,12.859354945743501,11.409155342878362,34.271219434572856,-113.78173622234614,47.26084231085753,-7.772373288692415,17.57825860661861,11.587359162955806,-51.24751800463993,-63.86027247478167,-21.387006288213733,-135.42326654317702,61.03242618915021,61.86174123523699,-39.405438964926795,58.32073422628808,6.115426866606019,7.101758603822022,-15.237798229669083,2.640061788108459,6.0138580061595155,1.9431919308613,55.606241751231344,18.885981882236816,16.084299552619306,-110.60398891521614,-89.32281883901337,-40.7746081875259,15.04875820747437,-2.955303054736862,33.34133508771225,9.65382738827127,25.282363638180836,-1.786341034083258,1.2906714254803076,-16.204832111553436,-3.299300540054375,-5.214281292616763,-58.5559566955697,24.95434027838495,-23.930873489408576,24.578917876197973,11.164132163866885,9.779549593066042,-31.50644038670046
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_158_100.jpg	Apple Pink Lady	0.17206454472895324,-1.7491888304796175,-3.688021490191372,-20.06646711285092,0.8569513378010483,-275.01610060613245,-102.22657285632711,-58.52167974991751,205.63879785645534,-27.625135136225946,-125.95306022215293,-25.989665747651827,1.132929692245787,197.66319006841158,58.05945323045118,166.9577869507201,-81.25556744687347,109.50685759937284,-21.548121411808342,53.39936828067498,8.256301972421245,11.339553260666415,26.206961464938363,-2.790894634408761,-61.25125209549627,94.92381771774227,101.45800179884715,3.4600366957698654,-77.0692750259621,26.243486748190573,-1.3702820602386716,-25.374805301831497,-1.5760116132954893,8.752458927707272,-15.691053181129421,-16.88560758310086,-53.949198751553276,29.876298924170587,45.546420376308326,-2.3013864902603363,-20.94846996190007,37.39635392671341,37.97642430083836,-23.943292111798957,5.997901042890474,0.7782075714477971,22.947141794190344,7.80544876247964,-1.8474759074622742,3.0094766356749587
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_180_100.jpg	Apple Braeburn	0.1147464113241559,-0.1576738564044771,2.62167808359691,-0.30750285396887383,6.4694270397448,15.123881163693898,8.60772061093531,30.555714328850947,-103.36645692839937,56.053039813561874,-1.661358544605693,24.418050010141922,19.434470887124334,-52.093401949971486,-40.7119067151393,-31.868544216986344,-124.29080709657451,44.72948819678293,52.28036120123884,-40.77325450033577,63.32540246002448,5.559148118632465,3.1362147657314092,-11.72693396043074,-6.453924227441897,-1.806485491603255,2.0674641474103774,50.15550589059925,12.896598120230308,14.252576528874096,-82.09423049410069,-67.84902358818094,-31.93926590097676,14.468455786669967,-6.081963947652974,26.705082969259195,23.110942765888815,29.970073042003612,17.4118567788463,0.832559731083631,-1.5627954505538182,8.958670424938738,7.971362790735642,-13.044733230117597,-8.26845668623175,-0.6396030390188037,1.9243250772650757,3.2233069164020653,1.576160489213272,14.616272287820557
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_106_100.jpg	Apple Braeburn	0.24085437606565627,-0.619799189317707,1.8980099164802091,-3.954808072077583,4.661463597473107,24.431670805599044,-28.927421841570826,32.20097538765028,-99.08756572943604,87.70919865496181,-17.15144140450865,75.38868087723877,45.872427452949886,-37.42299533997044,-40.61615644207339,75.97231480373895,60.96648905763925,7.044190007771782,9.450351572423408,4.01365826037267,-33.751593158649484,25.51587662645959,30.303417641912834,-73.29896723000127,-74.18447101761356,-103.36255146229459,90.9509104816775,39.44851029694732,9.158325293761846,-10.806924186949773,14.797617394151812,24.072540090058304,4.455968553995631,-1.6751739657134495,-37.11276886105285,11.11979421714789,-0.7428553743111973,-6.0062503888335765,-1.77124698321408,0.3159088623540687,-7.115779214234646,-19.59174572495854,-15.053921081254872,-7.207021498501105,77.43101994121753,1.2100425865062467,23.253805200211932,0.4338429072700538,-5.594335249362097,-6.927389009744193
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_163_100.jpg	Apple Pink Lady	0.0818069753337773,-0.8269647409171077,-5.027985915047322,-7.404650793529587,-10.049951509662009,-56.886412319102796,-17.39115229560029,-63.128408922436186,220.73252536729296,-31.52061176313096,-68.50256294415816,3.3637318973932446,8.981689392024148,167.85785484002378,-24.49301199899359,25.366586620681574,8.301045404795769,43.783998537967996,2.1821406831925363,46.06166439899118,21.128559408980564,-7.891588789401884,-10.557315417533161,7.902530811859401,66.78630419404713,32.01563296604951,81.37549475640935,-4.454812371986829,10.131739512412384,-10.285382384306875,-12.791073521925378,9.962365290104009,5.067694275898205,0.6715420604554908,-15.015170668237575,14.83018152792344,-35.41933772816594,21.422713644339847,-13.413588682719007,28.085708535029827,22.712954426625444,-80.69641300642262,-108.29905252490019,-17.281772932238894,-51.59514432011526,-47.210137908072646,-15.95536223729554,-29.207556619601913,6.6420058655643155,-2.9645469767217945
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_300_100.jpg	Apple Pink Lady	1.5121979111058406,-9.835395674501344,14.59082197410919,-418.0233036169415,-4225.427504955169,-244.12434269374032,94.07101300638232,42.00058852983911,-106.08100470518991,-41.13025989426918,-68.3411760282773,-22.213969640505614,-51.21590683915433,65.23557550623713,-4.496728939404938,17.039633093941084,42.56171006658686,-13.580092941818487,27.725309861471846,-11.412648553199313,16.008221658670056,34.59986304038076,55.3416592535213,0.9255117944022035,4.899093730840076,5.248039178106677,-3.823234772875356,11.199992061587063,-2.062203624829783,-13.437191305394494,-9.005239943799758,-5.998244378252448,3.940043512506967,2.7230496378526694,-4.325929090511384,-0.6270268983453732,6.799067297178859,-2.2042141443842267,18.09416841161121,1.374831215731355,-12.164758430056784,8.250138650682068,3.4870706662891022,-28.9256237130487,-4.418458450518346,9.286139101345869,4.036660923302414,-8.483625849716383,8.406757405044683,1.5502312718402522
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_162_100.jpg	Apple Pink Lady	0.040800030663477996,-0.8414315162056004,-5.421290361673824,-7.5659790936307525,-10.917730087219018,-59.57213269817781,-19.117072141355376,-61.65248896538171,214.2760256460697,-31.097076559303773,-68.16406763571635,6.483811191740952,3.2834496742975725,161.9947483687353,-25.69940213080257,28.225839487768006,3.6127424780372923,49.8341719512068,2.9389885875313726,47.13114696800961,18.297665646253055,-3.6570900494588114,-5.257132792854771,5.110183409322082,55.16183403133056,14.179297474485578,45.87652650770091,4.331183397292173,24.07780116571778,-11.888351102923698,-4.59607738168268,8.096396826657333,6.2153973954591,2.074624921705959,-16.177391726599915,17.490275439021683,-36.87872949607375,20.726090458168425,-0.9559404579988129,24.256946036710506,13.34441991601373,-50.28650361360428,-70.31106141294116,-18.447375714406487,-35.10179210919714,-30.9058799267893,-4.9218528322772075,-19.146963045294857,7.398117295984672,0.8028957150375431
