path	label	pcaFeaturesString
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_22_100.jpg	Apple Pink Lady	0.797600480034512,-7.376716598349643,15.579266412829833,-159.9564085158654,-937.685620195171,486.62533797267514,-1373.643293660492,-92.81042378420462,251.12622138248605,-237.48026004750304,92.71796330809156,-99.40493685626522,-18.325507876657223,-105.24117553880704,-20.48284806736242,14.191166080873321,-29.37422710173364,101.0644122905195,-32.723948641932,20.956630007891487,22.35177655806944,-50.376185935501894,-124.98002850652686,-19.49019262247936,4.190376990445151,25.912624339174695,-33.69935701725703,-23.843896941439347,38.34246803929526,99.11407695405565,-7.346195623746793,-8.082462781338178,-20.617042323187384,-25.831641880385586,32.312014118563496,-7.681243058625402,-16.980148028741226,14.994110825469935,5.500206231281599,-5.295501689265507,-7.357339289583331,38.220286933554235,27.621925638483454,-26.962486866187202,-29.046916610182144,-48.290797152992994,21.212493348255887,27.211277277863584,21.242211870466523,44.62632261784542
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_148_100.jpg	Apple Pink Lady	-0.9213914441360742,-0.8033871137244825,-6.994263533447416,-10.667529119063925,-17.867942363862152,-92.83568152016025,-35.24350824843161,-52.50267952007622,175.1270491727952,-23.131924805791876,-80.8205641697007,23.22231827712484,-43.0771491073145,86.50135086813327,-37.699179504784794,32.005026360101425,3.1675316996499507,81.09900878659779,20.923549518547617,58.6384376788349,5.871002002015248,10.267971852037446,18.779366533446154,-25.5620692582442,12.496437476926209,12.912695796281499,35.70914744075191,-2.970906418274569,23.015313530403013,1.6518802774866483,-0.8943774552011743,-1.4576139841122406,-7.743069755947201,0.31004213783775675,-24.674064810869513,-8.982744595002353,-73.47187665539076,23.747530139232037,7.32692721819282,2.065077604844837,2.312262211364679,7.361998989945529,-11.563403025967494,-32.94386497728701,-4.153040303416523,-0.5294723093756882,5.524989486775935,-12.250378469704378,15.309818098314027,-1.8901334106359309
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_276_100.jpg	Apple Braeburn	-0.05872162347819721,-0.2989344550599254,0.0839851838695193,6.069096056138263,0.3242553968992968,-0.5441238414490042,15.555903459529949,20.428550105403666,-56.29844706739699,-73.60170745677627,-11.93110141403538,-55.12760343895581,-77.00428553159318,-12.203369563814276,-188.62030425897385,50.89775714409511,-84.32249110284174,89.58691204211704,198.3094075773713,33.553319641978995,-137.3379171948145,132.88605795362736,0.6959946220821319,-204.9776046986594,33.654856005337116,33.1266584489595,-63.03318524999503,-139.76819730180407,-61.68449031967583,-2.8548696745393105,2.7130046138459805,36.689166221150835,29.3545343531032,-44.16690145671364,-18.61558785537253,13.379583260630456,32.430640305552856,64.82301428938065,6.235797538861151,0.5632520367194895,-22.792957584183604,-12.296384962673448,12.741502439656653,-23.63273294792579,-8.811672562252145,5.469929686541966,12.3459328220947,3.7509161010085608,12.288397341922588,7.441083007623345
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_169_100.jpg	Apple Pink Lady	0.08417629445202877,-0.6724768125695904,-4.712942321930393,-6.712826322259101,-11.27751747203254,-44.51149852515381,-14.561510920238023,-62.73677465031444,214.30683686669812,-38.95355574525367,-26.557598424110356,7.726475146292645,4.348816044760762,127.49281061166282,-13.776346215197652,15.94896162052455,14.06841730697401,5.45580482644403,28.788305713796692,26.226888244695356,23.90136625023217,-1.0018603081751167,-27.094425240626126,-1.5676987763610666,78.70931774933541,28.09378225891165,45.97436939590162,-4.350066573133305,104.27307864581684,-27.31677605697545,-17.768700581131387,27.211854629751976,9.624051887917695,-11.393749502267458,-13.66498658500824,6.092157872285647,-3.41505761601181,5.838485582182358,8.36572879299585,18.24615059269085,-0.9192623749846752,-29.304948829149016,-45.740928421045304,-19.418802875535725,-23.27268927773449,-24.412203775498057,3.739151322518214,-6.9485174365292846,1.7476099318263831,5.161357765670229
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_19_100.jpg	Apple Pink Lady	0.3714891433360522,-5.415067101352888,9.46937520937042,-141.80367480278017,-1078.46391022239,181.56188706205927,-634.3726186687161,-155.6140303150952,367.9912521346396,-201.25432218913147,206.1118215656653,-56.739530404341544,96.17248784010339,-282.4991119952203,-34.81040274259513,46.93402698550863,-64.13881113191307,174.2100715206792,-59.40578901577962,47.24868440796001,-63.55913682248064,-109.3704167856615,-189.43558820307805,-54.26335484795875,-35.41766800728237,-27.368165678685237,11.218219226261413,22.685327909362247,-8.506052885343625,83.61833649453095,-7.61078352143131,9.695214916558433,-3.8998203553445245,0.7277616613985465,-22.153989800115696,10.51102569673392,6.805403168898361,-0.30581813051105416,19.459692551867494,14.47750693322204,-2.0324009959930756,-7.40787515188565,-1.4473977640549778,16.09296967718952,-0.9378223402015058,-68.23151482452343,11.413970592060434,63.57678015490097,-11.358806141247092,5.39855010459447
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_280_100.jpg	Apple Braeburn	-0.09385778566060232,-0.16158238681512196,-0.16904469941020672,6.070956457762396,-0.2545455521053499,-2.148595962016874,12.71367615799497,15.341051842049396,-39.93266011413854,-77.79068626631283,-12.033949000338353,-51.64837227377686,-67.09552864359911,-0.13736732508408003,-138.92802334415526,43.41419248768042,-44.566858091126825,59.58602792113711,124.17328707620962,22.411695669343374,-86.31886580915688,65.2317385095487,4.151250623955403,-84.92642919052834,9.192032625875607,14.891576078740293,-16.92319541366127,-8.411847897174367,-13.468598360140701,6.447734310784415,-5.244981590419071,-0.4343931497185756,1.3848260998319462,11.59620735614217,-9.064156627974418,-1.1934239939869529,0.0034125994484419508,-25.660254813406993,24.062997576213405,4.033758005168011,1.9863525049933632,19.49373406680262,-4.369594519317149,-20.644121725735705,0.7348881120071542,-8.363625304456605,2.6037457694952217,3.704257122618614,-3.916421950249563,-5.324986139313935
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_108_100.jpg	Apple Braeburn	0.2403616169222593,-0.5588755742189253,1.81375598551473,-4.297980915882569,4.5393022303149575,25.038902438526698,-31.816270501192886,30.37209716481473,-93.47406192849981,87.18251530712757,-16.527334038788926,73.06772857887782,46.12764831247485,-31.527438596112667,-30.652800223857497,70.8148837007729,67.29131237135363,-2.3927524818251436,2.2246357663076086,9.314113112992072,-42.83017821368946,24.782693608795004,30.339763837685222,-69.7582345274319,-67.28990015819821,-93.74917656065898,83.18943599336734,40.65810232020257,8.185898155773625,-8.492455560343378,12.994924312831266,25.89940340306484,8.912137520032275,2.1792455265452686,-57.52556185958538,14.681805915047436,5.135824532263134,-7.031846741667784,13.83298250667482,4.8819629351971425,-1.7502204631523304,-18.835705062637327,-10.839745048706012,1.999032543512479,66.30241627442979,2.931777920513544,23.94287358237145,1.317280619193187,-3.351675615209296,-32.773232243457805
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_278_100.jpg	Apple Braeburn	-0.07146536300552113,-0.2547732727078072,-0.016892070912846262,5.541306272003802,0.2167670280993697,-1.3017831506982138,14.922257818084217,18.46343699668607,-49.22499375687694,-73.79503203436309,-12.216211399390687,-54.48922514285804,-75.2989383176515,-4.315251766636868,-180.06707567624144,49.526026029860425,-75.15364614549577,83.73006714089006,191.47103111123863,32.33423734756134,-138.47782647602608,125.54629475347949,3.4938823636427623,-194.78016124789855,30.887393944563232,36.8259910479926,-60.83186212295492,-125.20380100006496,-56.934091750495206,-3.789353203096883,1.8330181819824045,38.133782215675126,33.32519352466662,-36.11683708420797,-20.94267134192449,10.461400876523681,41.798580385003696,73.43998649040155,4.268157490933086,5.344318046701556,-28.145411674346484,-14.639301422748659,16.13356905773142,-17.836011909079122,-7.195597713933504,-4.709142263367269,7.31513115167732,6.265498945949042,10.344679528419423,5.977909985259812
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_151_100.jpg	Apple Pink Lady	1.1561445444757208,-7.9312719055668115,14.58117519443411,-115.43123125951115,101.09550919391393,-2170.5691866575057,-873.2417477509599,34.33068832763774,-132.51029637199045,-104.73473059896638,100.18625792532954,-26.89697155702993,12.439519740712178,-25.883769685916818,-63.29298295364856,-59.066687120684485,68.66722116296098,26.434581697853474,-1.1158431478825006,-30.142697957867416,-10.482744464201348,2.6809705427899013,16.81734401654876,-13.160894994086982,-72.63258413936678,44.41881640081305,-9.043718375905373,3.3306595742198595,15.919776703207187,1.3413991169831425,-17.305981853732803,-1.2246057814504812,1.391837845213556,-9.386070416861616,19.211588181942314,9.984564457708466,181.6441703674211,-87.04055868848724,-21.17101148739339,27.597457809207018,-4.44463555172809,-24.05994189702215,-24.926455321411648,-28.70976941815084,-9.63443124613368,-0.2734316857845916,-2.67157150442778,12.529342307724662,9.740793527426876,-0.3120015079535998
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_100_100.jpg	Apple Braeburn	0.032308228246707364,-0.4168022716864363,1.953594039063509,-3.212998669999166,4.3320695998455605,23.534419395927532,-19.207518748306903,31.279031068798208,-99.69918678621607,82.14777339343757,-4.749462609510138,73.0744765026892,40.15599571157072,-60.412404374062184,-51.18764732091159,58.68275249776447,20.441987848302276,25.572553115010695,48.12684961204079,-16.35929626826457,8.293883886718202,35.959957555933805,24.68086119581371,-92.19906167256336,-107.26560100904408,-158.2363925236476,128.382747609834,36.507024225957764,27.72158712106009,-19.237871757368314,38.58877442443126,26.217022416974764,-11.577105503371229,-0.8032863571710988,63.5333339994533,-6.243214204537089,1.088609677878253,4.494505394588507,-4.927538702981949,-2.4066637074833332,-15.50811728344743,13.272791715208971,8.611102953837245,-33.718587147269616,-28.46689398582188,-10.570818457684995,1.9866065927956256,7.344783938024127,8.360691924003827,2.5924729080411537
