path	label	pcaFeaturesString
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_184_100.jpg	Apple Braeburn	0.09293418329549796,-0.3783567585065798,2.73448237529031,0.7329996914501519,6.925341290431042,13.096356401074445,11.133329157670522,33.97598155022736,-114.18110184671774,46.73781037153435,-7.637485908722002,16.676229503193852,10.547586243327922,-51.06619178240026,-64.7865004011995,-20.878487194502636,-134.0547928162975,59.55165774680698,60.9338098919101,-36.97731118164774,53.81869477603307,6.889071198740482,8.453185134692067,-17.959658864478207,1.5131518554015897,3.8102632897994835,3.2506828192695454,53.71457482765118,18.475474449044043,16.08190859475224,-106.32992819622349,-87.41865269153773,-38.88495503697866,16.71931073602997,-0.4207630689134992,33.95514728026915,9.529499343506851,21.306970743399287,6.533668642406856,4.2904903847421725,-16.29511115712373,-2.920176540432456,-3.7186862805344827,-52.21680215262695,16.973022296510678,-18.646399142671804,23.690750494240874,10.4133651348156,10.35936539002812,-28.207041012831574
s3://p8neurybucket/Training-fruit/Apple Braeburn/182_100.jpg	Apple Braeburn	-135952.9323237833,-2747.157252709031,26.085604940218083,47.702830922318476,-55.4307584342495,-43.28884016491957,-89.92565450209474,-1060.1745752256618,-306.9277447066149,-79.36211301354618,-34.148696198052384,-22.429255172665695,-34.47400311253752,10.724657225031113,-14.631786030047698,26.12069723494492,24.62113041115033,17.00472580013619,13.235466821680674,-3.3371989118790637,3.0373938797040965,9.012880243243139,12.946097022363736,-9.32881706649325,-2.8641616536167462,-0.8978135383717244,-1.1202611417742452,12.692736101244712,-2.8107932128510424,7.701155008919733,-8.748435009650482,-2.2174110140677876,2.6043662149770617,1.8573283999759553,-6.563779669867392,1.7461735812420593,6.590296575010582,-1.6122327469656155,18.6856410622609,4.043316200348675,-10.116542594981325,4.991948413955712,2.298288105851461,-20.249479188076613,-3.5013277218429275,-5.600014927877911,5.56646944265802,5.394999935054694,4.405257384370626,1.784790197720032
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_290_100.jpg	Apple Braeburn	0.016880212660676002,-0.6679379869470228,1.5814193789868174,13.945698464790262,3.3531584472888434,1.5191579592340996,23.540246484627126,14.970439966019843,-29.235738148588663,-151.24826222357757,-4.670760913111991,-98.80676887414948,-78.22684008330091,20.656686784805864,-123.76913681194596,56.980707630411636,8.536507662369784,-17.039954036698326,31.803158596638237,15.00282088969922,-90.92000057533046,-3.013176962369129,-2.621415046917331,48.68710205790767,1.8678430562875288,18.02201518461351,-4.067645212873021,87.53292175399491,2.908791862664581,13.831783971627903,-0.6648495099416379,8.127145030854482,-0.17397961895916808,6.043587501639741,6.345726282353548,-13.026046644200292,11.455088622397513,1.823693329175606,24.480065010716128,2.386211492922373,4.783443232368718,-6.434111986035456,31.710166679965095,-39.88962884697374,4.082833645390963,-17.02859131264801,-52.968623254144774,-2.5739879866134014,-63.99533389528949,-6.226079269937876
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_157_100.jpg	Apple Pink Lady	0.12184944035153589,-1.4964654929100405,-5.3820640107001205,-16.93716693307593,-4.68453200159606,-203.57747903699783,-73.4886732758526,-70.3092027054812,250.5140549181448,-11.269755931212378,-293.4216759847655,-28.42263358981673,28.187703721152882,84.56778784605842,-113.59342423573656,-77.33724544812682,44.39155732454589,75.6090707525161,33.470614801894996,221.84471759943582,61.55419038060938,-96.85807988279709,79.59424861098137,14.296813145222439,-55.38802193805413,124.57055290180517,205.87889662666814,-38.7943950427792,-156.05942942517677,42.27173137148058,-69.82879669422833,6.198423964358799,-12.150131629948971,-9.606763276168348,7.129851733269793,-26.228737746100567,51.642904188330185,-20.733542212709306,24.641953539512297,-12.142611782253475,-21.60846281694108,25.3537874501558,25.14261357266053,-16.862525555905496,6.826550982659109,2.0716069701482227,0.5093553983698093,17.58783471576719,5.390964377952714,2.9983338591563644
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_270_100.jpg	Apple Braeburn	-0.06638273121833352,-0.24045419361070616,0.1482713043659787,7.174515923971936,0.33520524897687526,-0.04932448772229983,15.863543845927687,21.532586588508977,-62.12836007574905,-70.18619890119558,-10.155389386560863,-51.07254073436842,-69.89538760357644,-20.649135952441654,-152.89324078280873,40.64378874416719,-72.03246197446268,73.53646006450721,135.66658745554062,14.995043866088059,-59.44509271753177,78.09982567589289,3.01760672228971,-92.00241657944999,7.4654742748766685,-2.44831642330013,-14.871258222328265,-37.749724061161466,-17.053572247895058,2.618130897517698,-11.362611044570526,-25.450652738320375,-21.192560665478226,-1.6642268241433316,9.609418985299712,-1.1533517853187465,-55.47131984229626,-128.8670637370653,42.53088242623729,-10.56136244146228,55.20337641285669,71.58610706225076,-53.181823483016146,-37.034315571651064,-7.502314840693146,10.037070426611011,21.065587660140313,21.13247795915622,-10.207647291530366,-0.44423658013249756
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_283_100.jpg	Apple Braeburn	0.02900492543564822,-0.8099908980778247,1.2925849351021532,12.429936043209882,3.058846061541675,0.7822478769049128,21.527103398003362,21.39193087195933,-45.55832947612655,-130.71948343337317,-12.48948842834173,-93.66421180699842,-81.65121167534159,18.106564416738617,-131.16390567929707,64.55993620454089,-1.5484108716616753,7.228821091111544,49.06264603802275,4.332419432673446,-83.56895839429754,1.1137266924828582,10.496499806599147,20.3071819186823,-4.063865887009657,11.353517766320417,-4.6174584748124605,63.25443680575235,-14.44869231063681,9.3041072121633,-17.064141504748008,14.07161846231028,4.184289588262299,-0.12080431746586327,-7.111885528298043,1.1152221842989671,-4.476318252594168,-3.968715776862083,4.291828100701896,4.419009048632091,-20.05800057618204,1.098749657240693,-5.048915862791202,-22.973590475522247,1.7007534706930576,-6.059443897125862,0.9712710442414172,3.7687402047261664,3.9534979158674273,-1.065037591795657
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_103_100.jpg	Apple Braeburn	0.23981563256719876,-0.6978100369741511,2.2347438613744663,-3.131840872130909,5.141731016459458,23.87622092779631,-24.129319862778413,35.18054091278147,-108.9309983035589,87.21581696263247,-15.877714754930496,76.78744710627541,45.65958108393991,-48.902502282215195,-56.23493406571728,90.04102640979144,60.731531423317385,23.954059433877507,21.147972023719216,-6.553039574138968,-15.455700669517226,25.170487943876125,29.282676805067265,-74.25161136782263,-81.68915477169513,-116.22620205986921,99.79826075015669,35.42746471106489,9.424382510200045,-14.169717882762834,21.48740388036451,26.57477396134648,-2.6044286823445084,-8.73523574164357,-1.5404460844419192,3.7360843395014673,-11.522994126352424,-8.413143268120747,-17.410027744566317,-1.542926582747555,-18.9879683929363,-21.520372046952232,-19.012989183134977,-28.524775179521647,85.73902471472508,-4.066022898813395,21.504430733788983,0.3853759438997757,-8.05475707875425,32.42937257122385
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_289_100.jpg	Apple Braeburn	0.02038780448947744,-0.6629673329069989,1.4893968692256878,13.437902224691706,3.0888192287470018,1.0896188145083443,22.886864761833692,15.177363514303051,-29.314203470326134,-148.15044083936422,-6.256505052962151,-96.15487928302082,-77.35704856626485,21.775909440920287,-124.72590903532847,56.946322582499285,6.891652591586682,-13.977730706850078,34.62847131436983,14.449074026084858,-92.25868576226861,-3.2690943430235393,-1.1588987347110873,46.14202253701841,0.9581900613853268,18.235425293906125,-3.0160760250567242,90.37695311832853,0.8665701530000278,14.523187961754898,-1.7178179138327876,9.095113093886027,2.761030675973788,10.167702485579685,5.458537008009005,-12.502314519156833,10.640107271236483,1.1174674181381663,24.07951761681356,4.521440711156714,1.0103323659325814,-5.223016084837411,24.77406540546448,-34.82015087441478,3.045155617338522,-16.37412303672052,-44.208799363338365,-3.5399524130959223,-51.951484975435065,-3.8780723899828016
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_287_100.jpg	Apple Braeburn	0.006429260644881389,-0.7241900668472666,1.3360061071134,13.13391887206743,2.929934816284406,1.102814233259316,23.145656166255616,14.77261694101112,-31.06092305292597,-147.79638077383248,-6.191480869352675,-101.58139431799776,-82.87668153131834,22.511672779022632,-136.11441418313723,61.18930742209991,4.701358489262574,-13.068900071189494,40.77076119187437,14.83871376610557,-101.78217610208037,-4.33297154303047,0.25777510677807614,52.011571264721276,-1.4868367759241075,22.532985242907344,-4.3440145947107105,122.13274023070862,-7.1781289593895075,21.46608602180376,0.2533004114406453,21.027555833250098,4.146300843703044,19.11815616110273,9.235122345555434,-18.988624556105083,8.37039129180556,2.8078397516017373,8.055578145084487,6.307641284843415,-19.294781854321158,16.367989404352475,-11.83140964875651,-9.459507053725153,-8.263968336069384,0.7473637994899184,32.04010597881805,9.04371592954127,18.286842672709543,5.503362999949053
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_23_100.jpg	Apple Pink Lady	0.736959950478929,-7.405361737063526,15.504134818870934,-155.91534011401743,-897.3723684735021,489.7015928474981,-1376.483450873128,-103.83579415995834,268.6783803482996,-247.4891486159171,108.92176592190826,-103.08158738641364,-12.457538134929028,-131.25153809092555,-24.383572521512267,15.320587744555262,-37.11442820277003,116.25663910170276,-41.10844682593581,24.946258146462448,19.63845394979514,-63.09847767048027,-147.43515600444996,-22.404020010599083,0.7586824692510197,20.32047546520593,-32.36850029817374,-14.924919142991884,27.20880378135789,98.80263736471133,-8.091412360631443,-9.472850435809509,-21.507253213517114,-25.745897658204246,27.153444312546345,-5.91287494291562,-14.602544422951102,15.188011764493233,6.778660280851019,-3.584602055533966,-2.2065312544224045,37.351956294976226,33.1067217753215,-7.646962639035319,-26.8991016739567,-79.36218454506074,29.566000881469087,49.598114598553664,17.16701336873682,47.49184176815243
